,ID,RANKID,ATK.Pt_M,Open_A,MP.Pt_M,Open_M,A+M.Pt_M,HP.Pt_M,Open_H,DEF.Pt_M,Open_D,H+D.Pt_M,AGI.Pt_M,Open_Ag,DEX.Pt_M,Open_DX,Ag+Dx.Pt_M
COMMENT,プレイヤーID,ランクのID,ATKPt最大値,,MPPt最大値,,アタック最大値,HPPt最大値,,DEFPt最大値,,ディフェンス最大値,AGIPt最大値,,DEXPt最大値,,テクニカル最大値
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ID,RANKID,ATK.Pt_M,Open_A,MP.Pt_M,Open_M,A+M.Pt_M,HP.Pt_M,Open_H,DEF.Pt_M,Open_D,H+D.Pt_M,AGI.Pt_M,Open_Ag,DEX.Pt_M,Open_DX,Ag+Dx.Pt_M
,1,C,1000,0,500,0,1000,1000,0,500,0,1000,1000,0,500,0,1000
,1,B,2500,0,1250,0,2500,2500,0,1250,0,2500,2500,0,1250,0,2500
,1,A,5000,0,2500,0,5000,5000,0,2500,0,5000,5000,0,2500,0,5000
,1,S,8000,0,4000,0,8000,8000,0,4000,0,8000,8000,0,4000,0,8000
,1,SS,12000,0,6000,0,14000,12000,0,6000,0,14000,12000,0,6000,0,14000
,2,C,1000,0,500,0,1000,1000,0,500,0,1000,1000,0,500,0,1000
,2,B,2500,0,1250,0,2500,2500,0,1250,0,2500,2500,0,1250,0,2500
,2,A,5000,0,2500,0,5000,5000,0,2500,0,5000,5000,0,2500,0,5000
,2,S,8000,0,4000,0,8000,8000,0,4000,0,8000,8000,0,4000,0,8000
,2,SS,12000,0,6000,0,14000,12000,0,6000,0,14000,12000,0,6000,0,14000
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,合計ランクポイント,,,,各ランクポイント,,,,,,,,,,,,
,C,0~1000,,,0～500,,0～1000,,,,,,,,,,
,B,1001~2500,,,501～1250,,1001～2000,,,,,,,,,,
,A,2501~5000,,,1251～2500,,2001～4500,,,,,,,,,,
,S,5001~8000,,,2501～4000,,4501～7500,,,,,,,,,,
,SS,8001~14000,,,4001～6000,,7501～12000,,,,,,,,,,
